date,ticker,p_raw,p_calibrated
2026-04-14,NASDAQ:TTD,0.1492826,0.1492826
2026-04-14,NASDAQ:TTWO,0.0045348313,0.0045348313
2026-04-14,NASDAQ:TXN,0.0037901176,0.0037901176
2026-04-14,NASDAQ:VRSK,0.005660746,0.005660746
2026-04-14,NASDAQ:VRTX,0.0045348313,0.0045348313
2026-04-14,NASDAQ:WBD,0.0214174,0.0214174
2026-04-14,NASDAQ:WDAY,0.017578086,0.017578086
2026-04-14,NASDAQ:XEL,0.0040820907,0.0040820907
2026-04-14,NASDAQ:ZS,0.035037275,0.035037275
2026-04-15,NASDAQ:AAPL,0.004217027,0.004217027
2026-04-15,NASDAQ:ADBE,0.008390588,0.008390588
2026-04-15,NASDAQ:ADI,0.0036236804,0.0036236804
2026-04-15,NASDAQ:ADP,0.0047849766,0.0047849766
2026-04-15,NASDAQ:ADSK,0.0040403046,0.0040403046
2026-04-15,NASDAQ:AEP,0.0034114718,0.0034114718
2026-04-15,NASDAQ:AMAT,0.024594668,0.024594668
2026-04-15,NASDAQ:AMD,0.04668444,0.04668444
2026-04-15,NASDAQ:AMGN,0.0040820907,0.0040820907
2026-04-15,NASDAQ:AMZN,0.004217027,0.004217027
2026-04-15,NASDAQ:ANSS,0.0040820907,0.0040820907
2026-04-15,NASDAQ:ASML,0.00904577,0.00904577
2026-04-15,NASDAQ:AVGO,0.025196785,0.025196785
2026-04-15,NASDAQ:AZN,0.015141604,0.015141604
2026-04-15,NASDAQ:BIIB,0.005227004,0.005227004
2026-04-15,NASDAQ:BKNG,0.019018775,0.019018775
2026-04-15,NASDAQ:BKR,0.0043358332,0.0043358332
2026-04-15,NASDAQ:CCEP,0.0036367555,0.0036367555
2026-04-15,NASDAQ:CDNS,0.004631492,0.004631492
2026-04-15,NASDAQ:CDW,0.0044888854,0.0044888854
2026-04-15,NASDAQ:CHTR,0.013691287,0.013691287
2026-04-15,NASDAQ:CMCSA,0.004217027,0.004217027
2026-04-15,NASDAQ:COST,0.0040820907,0.0040820907
2026-04-15,NASDAQ:CPRT,0.0055474355,0.0055474355
2026-04-15,NASDAQ:CRWD,0.035181418,0.035181418
2026-04-15,NASDAQ:CSCO,0.003757027,0.003757027
2026-04-15,NASDAQ:CSGP,0.014723093,0.014723093
2026-04-15,NASDAQ:CSX,0.0040820907,0.0040820907
2026-04-15,NASDAQ:CTAS,0.0045348313,0.0045348313
2026-04-15,NASDAQ:CTSH,0.004780435,0.004780435
2026-04-15,NASDAQ:DDOG,0.026358187,0.026358187
2026-04-15,NASDAQ:DXCM,0.013691287,0.013691287
2026-04-15,NASDAQ:EA,0.0040820907,0.0040820907
2026-04-15,NASDAQ:EXC,0.0040820907,0.0040820907
2026-04-15,NASDAQ:FANG,0.0037901176,0.0037901176
2026-04-15,NASDAQ:FAST,0.0040820907,0.0040820907
2026-04-15,NASDAQ:FTNT,0.008763065,0.008763065
2026-04-15,NASDAQ:GILD,0.0040820907,0.0040820907
2026-04-15,NASDAQ:GOOG,0.004217027,0.004217027
2026-04-15,NASDAQ:GOOGL,0.0034114718,0.0034114718
2026-04-15,NASDAQ:HON,0.0040820907,0.0040820907
2026-04-15,NASDAQ:IDXX,0.005606946,0.005606946
2026-04-15,NASDAQ:INTC,0.06953078,0.06953078
2026-04-15,NASDAQ:INTU,0.011409026,0.011409026
2026-04-15,NASDAQ:ISRG,0.0040820907,0.0040820907
2026-04-15,NASDAQ:KDP,0.003757027,0.003757027
2026-04-15,NASDAQ:KHC,0.0040403046,0.0040403046
2026-04-15,NASDAQ:KLAC,0.015344773,0.015344773
2026-04-15,NASDAQ:LIN,0.0040820907,0.0040820907
2026-04-15,NASDAQ:LRCX,0.019589838,0.019589838
2026-04-15,NASDAQ:LULU,0.017078593,0.017078593
2026-04-15,NASDAQ:MAR,0.0034114718,0.0034114718
2026-04-15,NASDAQ:MCHP,0.0074628717,0.0074628717
2026-04-15,NASDAQ:MDB,0.06963429,0.06963429
2026-04-15,NASDAQ:MDLZ,0.0040820907,0.0040820907
2026-04-15,NASDAQ:MELI,0.008873984,0.008873984
2026-04-15,NASDAQ:META,0.0044791196,0.0044791196
