ticker,date,pe,ps,p_fcf,earnings_yield,sales_yield,fcf_yield,eps_ttm,rev_ps_ttm,fcf_ps_ttm,market_cap,adj_close,shares,revenue_ttm,net_income_ttm,fcf_ttm,revenue_q,asof_fiscal_period_end,asof_filed_date
FUND:AMD,2026-07-02,173.26811738870035,23.17242484113846,101.67525773195877,0.0057714022352805625,0.04315474132964627,0.009835234474017743,3.0357575757575757,22.69939393939394,5.173333333333333,867900.0,526.0,1650.0,37454.0,5009.0,8536.0,10253.0,2026-03-31,2026-05-06
FUND:AME,2026-07-02,35.13100072719202,7.064230459369976,31.513992052056686,0.028464887970754055,0.14155823564244038,0.03173193666953208,6.647120760545609,33.05667979202472,7.410041986642591,53671.07018196106,233.52000427246094,229.835,7597.582,1527.741,1703.087,1928.437,2026-03-31,2026-04-30
FUND:AMG,2026-07-02,12.558309037900875,4.464361426485136,8.979910925803088,0.07962855484619849,0.22399620112910887,0.1113596792064581,27.44,77.18909090909092,38.37454545454546,9476.5,344.6,27.5,2122.7000000000003,754.6,1055.3000000000002,544.9,2026-03-31,2026-05-07
FUND:AMGN,2026-07-02,25.929620768229167,5.433934497372045,23.525769686191403,0.038565932334238835,0.1840287181385089,0.04250657952275016,14.338235294117647,68.41911764705883,15.803308823529411,202251.0419921875,371.7850036621094,544.0,37220.0,7800.0,8597.0,8618.0,2026-03-31,2026-05-01
FUND:AMH,2026-07-02,27.192173475240022,6.667853924514568,8.866254053201413,0.036775287599226124,0.14997329145491167,0.11278720347957114,1.2533018013816264,5.11108977278339,3.8437878945837842,12422.09184,34.08,364.498,1862.982,456.826,1401.053,472.024,2026-03-31,2026-05-07
FUND:AMKR,2026-07-02,39.85744798426114,2.4582502428544784,61.976284535656085,0.025089413662281606,0.4067934104376685,0.01613520409447394,1.747477661577914,28.33316103698361,1.12381696518011,17382.5505,69.65,249.57,7071.107,436.118,280.47100000000006,1684.701,2026-03-31,2026-04-28
FUND:AMP,2026-07-02,11.741412886300044,2.4148697429580035,6.588791700351343,0.0851686257594098,0.41410101017501993,0.15177289637896363,41.216931216931215,200.4021164021164,73.44973544973546,45732.80319213867,483.94500732421875,94.5,18938.0,3895.0,6941.0,4812.0,2026-03-31,2026-05-07
FUND:AMT,2026-07-02,26.747570208053748,7.1701473477638356,20.572816166240923,0.03738657351757873,0.13946714781417588,0.048607832390052445,6.212713968378413,23.175953713640634,8.077406695756297,77575.97519966126,166.1750030517578,466.833,10819.3,2900.2999,3770.7999999999997,2737.5,2026-03-31,2026-04-28
FUND:AMTM,2026-07-02,35.16081081081081,0.36643898317019924,11.853758542141229,0.028440754833006652,2.7289672931319426,0.08436142818709406,0.6040816326530613,57.96326530612245,1.7918367346938775,5203.799999999999,21.24,245.0,14201.0,148.0,439.0,3478.0,2026-03-31,2026-05-12
FUND:AMZN,2026-07-02,29.43290164280091,3.5979199696315405,2169.19529493753,0.03397558324816382,0.2779383667342687,0.00046100044672501406,8.350009196247932,68.30752253080743,0.11329777450800074,2672448.603363037,245.76499938964844,10874.0,742776.0,90798.0,1232.0,181519.0,2026-03-31,2026-04-30
FUND:AN,2026-07-02,9.63621649484536,0.23798665847067083,,0.1037751694905281,4.201916218438937,-0.015894871321082367,19.344729344729345,783.2792022792022,-2.9629629629629637,6542.991,186.41,35.1,27493.1,679.0,-104.00000000000003,6552.1,2026-03-31,2026-05-01
FUND:ANET,2026-07-02,55.279602763092136,21.181241348611486,38.966248565226884,0.01808985502818515,0.047211586117239246,0.025663235154035093,2.9207881143036585,7.6227830114617685,4.143586120270059,205667.75655212402,161.4600067138672,1273.8,9709.901,3720.4999000000003,5278.1,2709.0,2026-03-31,2026-05-06
